Title,Authors,DOI,Date,Paper_URL
Genome sequence assembly and annotation of MATA and MATB strains of Yarrowia lipolytica,N/A,https://doi.org/10.1101/2025.03.24.645116,N/A,https://www.biorxiv.org/content/10.1101/2025.03.24.645116v1
Development of metagenomic methods for non-invasive health monitoring of endangered species: Unveiling hidden microbial threats in fecal samples,N/A,https://doi.org/10.1101/2025.01.21.633432,N/A,https://www.biorxiv.org/content/10.1101/2025.01.21.633432v2
Evaluating Methods for the Prediction of Cell Type-Specific Enhancers in the Mammalian Cortex,N/A,https://doi.org/10.1101/2024.08.21.609075,N/A,https://www.biorxiv.org/content/10.1101/2024.08.21.609075v3
Single-cell multiome and enhancer connectome of human retinal pigment epithelium and choroid nominate pathogenic variants in age-related macular degeneration,N/A,https://doi.org/10.1101/2025.03.21.644670,N/A,https://www.biorxiv.org/content/10.1101/2025.03.21.644670v1
Phenotypic tolerance for rDNA copy number variation within the natural range of C. elegans,N/A,https://doi.org/10.1101/2025.03.21.644675,N/A,https://www.biorxiv.org/content/10.1101/2025.03.21.644675v1
The Cistrome Response to Hypoxia in Human Umbilical Vein Endothelial Cells,N/A,https://doi.org/10.1101/2025.03.23.644824,N/A,https://www.biorxiv.org/content/10.1101/2025.03.23.644824v1
THE HAPLOTYPE-RESOLVED AND CHROMOSOME-SCALE GENOME OF VACCINIUM STAMINEUM: A NEW SOURCE OF GENETIC VARIABILITY FOR BLUEBERRY BREEDING,N/A,https://doi.org/10.1101/2025.03.21.644558,N/A,https://www.biorxiv.org/content/10.1101/2025.03.21.644558v1
Population and adaptation history of 739 Thlaspi arvense natural accessions,N/A,https://doi.org/10.1101/2025.03.21.644658,N/A,https://www.biorxiv.org/content/10.1101/2025.03.21.644658v1
Genome-wide association studies reveal novel loci associated with carcass and body measures in goats (Capra hircus),N/A,https://doi.org/10.1101/2025.03.24.644862,N/A,https://www.biorxiv.org/content/10.1101/2025.03.24.644862v1
Long-term hunter-gatherer continuity in the Rhine-Meuse region was disrupted by local formation of expansive Bell Beaker groups,N/A,https://doi.org/10.1101/2025.03.24.644985,N/A,https://www.biorxiv.org/content/10.1101/2025.03.24.644985v1
Neotenic transcriptomic features in the adult turquoise killifish brain,N/A,https://doi.org/10.1101/2025.03.24.645095,N/A,https://www.biorxiv.org/content/10.1101/2025.03.24.645095v1
"Reassessing taxonomy and virulence in the Fusobacterium nucleatum group - Rebuttal of Fusobacterium animalis clades ""Fna C1"" and ""Fna C2"", genome announcement for Fusobacterium watanabei and description of Fusobacterium paranimalis sp. nov.",N/A,https://doi.org/10.1101/2025.03.20.644344,N/A,https://www.biorxiv.org/content/10.1101/2025.03.20.644344v1
Human Body Single-Cell Atlas of 3D Genome Organization and DNA Methylation,N/A,https://doi.org/10.1101/2025.03.23.644697,N/A,https://www.biorxiv.org/content/10.1101/2025.03.23.644697v1
Functional interrogation of candidate cis-regulatory elements at the LDLR locus,N/A,https://doi.org/10.1101/2025.03.20.644385,N/A,https://www.biorxiv.org/content/10.1101/2025.03.20.644385v1
"CellBouncer, A Unified Toolkit for Single-Cell Demultiplexing and Ambient RNA Analysis, Reveals Hominid Mitochondrial Incompatibilities",N/A,https://doi.org/10.1101/2025.03.23.644821,N/A,https://www.biorxiv.org/content/10.1101/2025.03.23.644821v1
Gene expression analysis of carbohydrate catabolism in Leucoagaricus gongylophorus LEU18496,N/A,https://doi.org/10.1101/2025.03.21.644473,N/A,https://www.biorxiv.org/content/10.1101/2025.03.21.644473v1
Prior epigenetic status predicts future susceptibility to seizures in mice,N/A,https://doi.org/10.1101/2025.03.20.644199,N/A,https://www.biorxiv.org/content/10.1101/2025.03.20.644199v1
"OpenSpliceAI: An efficient, modular implementation of SpliceAI enabling easy retraining on non-human species",N/A,https://doi.org/10.1101/2025.03.20.644351,N/A,https://www.biorxiv.org/content/10.1101/2025.03.20.644351v1
Examining Sleep Signals at the Cradle of Life: Can phylogenomic analysis of the Last Universal Common Ancestor (LUCA) reveal the fundamental role of sleep?,N/A,https://doi.org/10.1101/2025.03.21.644522,N/A,https://www.biorxiv.org/content/10.1101/2025.03.21.644522v1
