Title,Authors,DOI,Date,Paper URL,Abstract,Summary
Genome sequence assembly and annotation of MATA and MATB strains of Yarrowia lipolytica,,https://doi.org/10.1101/2025.03.24.645116,,https://www.biorxiv.org/content/10.1101/2025.03.24.645116v1,"AbstractYeast is commonly utilized in molecular and cell biology research, and Yarrowia lipolytica is favored by bio-engineers due to its ability to produce copious amounts of lipids, chemicals, and enzymes for industrial applications. Y. lipolytica is a dimorphic yeast that can proliferate in aerobic and hydrophobic environments conducive to industrial use. However, there is limited knowledge about the basic molecular biology of this yeast, including how the genome is duplicated and how gene silencing occurs. Genome sequences of Y. lipolytica strains have offered insights into this yeast species and have facilitated the development of new industrial applications. Although previous studies have reported the genome sequence of a few Y. lipolytica strains, it is of value to have more precise sequences and annotation, particularly for studies of the biology of this yeast. To further study and characterize the molecular biology of this microorganism, a high-quality reference genome assembly and annotation has been produced for two related Y. lipolytica strains of the opposite mating type, MATA (E122) and MATB (22301-5). The combination of short-read and long-read sequencing of genome DNA and short-read and long-read sequencing of transcript cDNAs allowed the genome assembly and a comparison with a distantly related Yarrowia strain.",Y. lipolytica is a dimorphic yeast that can proliferate in aerobic and hydrophobic environments conducive to industrial use. a high-quality reference genome assembly and annotation has been produced for two related Y. lipolytica strains.
Development of metagenomic methods for non-invasive health monitoring of endangered species: Unveiling hidden microbial threats in fecal samples,,https://doi.org/10.1101/2025.01.21.633432,,https://www.biorxiv.org/content/10.1101/2025.01.21.633432v2,"AbstractMetagenomic analysis of feces is emerging as a powerful tool for improving the monitoring of endangered species. A critical aspect in assessing the extinction risk of a species is the analysis of the burden of parasites and pathogens that can negatively affect the health of individuals. However, the identification of pathogens in non-model species using metagenomics is a major challenge due to the lack of reference genome sequences or data limited to distantly related species. In this study, we developed a pipeline for detecting potentially pathogenic bacteria from metagenomic sequences by mapping unassembled reads to available reference genomes. The approach uses the breadth of genome coverage rather than the number of mapped reads for species identification, thereby minimizing false positives due to conserved or repetitive genomic regions. We applied this method to fresh fecal samples of the Iberian desman (Galemys pyrenaicus), a critically endangered semi-aquatic mammal. Our analysis revealed the presence of 19 potentially pathogenic bacterial species, with prevalences ranging from a single individual to 30% of the samples. We also detected some desmans with elevated or altered pathogen loads, suggesting variations in individual health status or different environmental exposures. This work represents a novel application of metagenomic methods for species-level pathogen detection in wildlife using fecal samples. Application of this method across populations and over time for endangered species may provide essential health and epidemiological information to improve conservation strategies.",metagenomics analysis of feces is emerging as a powerful tool for improving the monitoring of endangered species. a critical aspect in assessing the extinction risk of a species is the analysis of the burden of parasites and pathogens.
Evaluating Methods for the Prediction of Cell Type-Specific Enhancers in the Mammalian Cortex,,https://doi.org/10.1101/2024.08.21.609075,,https://www.biorxiv.org/content/10.1101/2024.08.21.609075v3,"AbstractIdentifying cell type-specific enhancers in the brain is critical to building genetic tools for investigating the mammalian brain. Computational methods for functional enhancer prediction have been proposed and validated in the fruit fly and not yet the mammalian brain. We organized the 'Brain Initiative Cell Census Network (BICCN) Challenge: Predicting Functional Cell Type-Specific Enhancers from Cross-Species MultiOmics' to assess machine learning and feature-based methods designed to nominate enhancer DNA sequences to target cell types in the mouse cortex. Methods were evaluated based on in vivo validation data from hundreds of cortical cell type-specific enhancers that were previously packaged into individual AAV vectors and retro-orbitally injected into mice. We find that open chromatin was a key predictor of functional enhancers, and sequence models improved prediction of non-functional enhancers that can be deprioritized as opposed to pursued for in vivo testing. Sequence models also identified cell type-specific transcription factor codes that can guide designs of in silico enhancers. This community challenge establishes a benchmark for enhancer prioritization algorithms and reveals computational approaches and molecular information that are crucial for identifying functional enhancers in mammalian cortical cell types. The results of this challenge bring us closer to understanding the complex gene regulatory landscape of the mammalian cortex and to designing more efficient genetic tools to target cortical cell types.",computational methods for functional enhancer prediction have been proposed and validated in the fruit fly and not yet the mammalian brain. results of this community challenge bring us closer to understanding the complex gene regulatory landscape of the mammalian cortex.
Single-cell multiome and enhancer connectome of human retinal pigment epithelium and choroid nominate pathogenic variants in age-related macular degeneration,,https://doi.org/10.1101/2025.03.21.644670,,https://www.biorxiv.org/content/10.1101/2025.03.21.644670v1,"SUMMARYAge-related macular degeneration (AMD) is a leading cause of vision loss worldwide. Genome-wide association studies (GWAS) of AMD have identified dozens of risk loci that may house disease targets. However, variants at these loci are largely noncoding, making it difficult to assess their function and whether they are causal. Here, we present a single-cell gene expression and chromatin accessibility atlas of human retinal pigment epithelium (RPE) and choroid to systematically analyze both coding and noncoding variants implicated in AMD. We employ HiChIP and Activity-by-Contact modeling to map enhancers in these tissues and predict cell and gene targets of risk variants. We further perform allele-specific self-transcribing active regulatory region sequencing (STARR-seq) to functionally test variant activity in RPE cells, including in the context of complement activation. Our work nominates new pathogenic variants and mechanisms in AMD and offers a rich and accessible resource for studying diseases of the RPE and choroid.","genome-wide association studies of AMD have identified dozens of risk loci that may house disease targets. variants at these loci are largely noncoding, making it difficult to assess their function and whether they are causal. we use HiChIP and Activity-by-Contact modeling to map enhancers in these tissues and predict cell and gene targets of risk variants."
Phenotypic tolerance for rDNA copy number variation within the natural range of C. elegans,,https://doi.org/10.1101/2025.03.21.644675,,https://www.biorxiv.org/content/10.1101/2025.03.21.644675v1,"ABSTRACTThe genes for ribosomal RNA (rRNA) are encoded by ribosomal DNA (rDNA), whose structure is notable for being present in arrays of tens to thousands of tandemly repeated copies in eukaryotic genomes. The exact number of rDNA copies per genome is highly variable within a species, with differences between individuals measuring in potentially hundreds of copies and megabases of DNA. The extent to which natural variation in rDNA copy number impacts whole-organism phenotypes such as fitness and lifespan is poorly understood, in part due to difficulties in manipulating such large and repetitive tracts of DNA even in model organisms. Here, we used the natural resource of copy number variation in C. elegans wild isolates to generate new tools and investigated the phenotypic consequences of this variation. Specifically, we generated a panel of recombinant inbred lines (RILs) using a laboratory strain derivative with ∼130 haploid rDNA copies and a wild isolate with ∼417 haploid rDNA copies, one of the highest validated C. elegans rDNA copy number arrays. We find that rDNA copy number is stable in the RILs, rejecting prior hypotheses that predicted copy number instability and copy number reversion. To isolate effects of rDNA copy number on phenotype, we produced a series of near isogenic lines (NILs) with rDNA copy numbers representing the high and low end of the rDNA copy number spectrum in C. elegans wild isolates. We find no correlation between rDNA copy number and phenotypes of rRNA abundance, competitive fitness, early life fertility, lifespan, or global transcriptome under standard laboratory conditions. These findings demonstrate a remarkable ability of C. elegans to tolerate substantial variation in a locus critical to fundamental cell function. Our study provides strain resources for future investigations into the boundaries of this tolerance.",the exact number of rDNA copies per genome is highly variable within a species. the extent to which natural variation in rDNA copy number impacts whole-organism phenotypes such as fitness and lifespan is poorly understood.
The Cistrome Response to Hypoxia in Human Umbilical Vein Endothelial Cells,,https://doi.org/10.1101/2025.03.23.644824,,https://www.biorxiv.org/content/10.1101/2025.03.23.644824v1,"ABSTRACTTranscriptional signaling during hypoxic stress is primarily governed by hypoxia-inducible transcription factors (HIFs), which bind to hypoxia response elements (HREs) in gene regulatory regions. However, only a small proportion (∼1%) of known HREs are occupied by HIFs during hypoxia, suggesting the involvement of additional pathways.To address this gap, we utilized MOA-seq, an MNase-based assay that enables genome-wide, high-resolution (<30 bp) identification of transcription factor (TF) occupancy footprints within open chromatin. We applied this cistrome profiling approach to nuclei from cultured endothelial cells exposed to normoxia or hypoxia for 1, 3, or 24 hours, revealing thousands of hypoxia-modulated genomic sites with dynamic TF footprints. The affected genes were enriched in canonical hypoxia-induced pathways, such as angiogenesis. Motif analysis identified over 100 candidate TFs potentially mediating this complex multifaceted genomic response. We followed up these observations with a quantitative footprint clustering analysis to gain mechanistic insight into how concurrent TF regulatory networks might choreograph these responses. We found 10 distinct MOA-defined kinetic clusters, half of which contained HIF1A motifs.HIF1A-proximal binding sites revealed candidate co-activators, whereas motifs in non-HIF1A clusters implicated HIF1A-independent pathways. These findings highlight the utility of cistrome analysis in unraveling the genomic response to hypoxia.KEY POINTSMOA-seq mapped TF occupancy at 21,765 sites in normoxia, including 7,444 beyond the known ENCODE cCREs.Hypoxia for 1, 3, and 24h changes the cistrome occupancy at thousands of genes.Clustering analysis distinguished candidate HIF1A-associated cofactors and HIF1A-independent TFs.","cistrome analysis mapped TF occupancy at 21,765 sites in normoxia. only a small proportion (1%) of known HREs are occupied by HIFs during hypoxia."
THE HAPLOTYPE-RESOLVED AND CHROMOSOME-SCALE GENOME OF VACCINIUM STAMINEUM: A NEW SOURCE OF GENETIC VARIABILITY FOR BLUEBERRY BREEDING,,https://doi.org/10.1101/2025.03.21.644558,,https://www.biorxiv.org/content/10.1101/2025.03.21.644558v1,"AbstractThe Vaccinium genus comprises several commercially important fruit crops, such as blueberry, lingonberry, bilberry, and cranberry. However, past breeding efforts have primarily focused on a limited number of wild relatives as sources of genetic variability, leaving a vast genetic reservoir untapped. In this study, we present the first haplotype-phased reference genome for V. stamineum, a blueberry wild relative with potential for de novo domestication and introgression into breeding programs. V. stamineum is particularly notable for several agronomic traits of interest, such as high soluble sugars, unique flavor profile, and its unique anthocyanin accumulation in fruit pulp, a trait absent in cultivated blueberries.Our assemblies revealed 12 pseudomolecules corresponding to the base chromosome number of Vaccinium species, with a genome size of 529.16 Mb and 493.82 Mb for primary and secondary haplotypes, respectively. Despite a slightly smaller genome than other Vaccinium species, V. stamineum exhibited a higher number of predicted protein-coding genes, while the repetitive elements comprised 39.77% and 42.38% of the primary and secondary haplotypes, respectively. BUSCO analysis indicated 97% transcriptome completeness, supporting the accuracy of gene annotation. Genome-wide alignments showed that V. stamineum haplotypes were highly collinear to each other, as well as to V. corymbosum. However, further validation is required to resolve a putative translocation in chromosome 1 of the primary haplotype. Altogether, this study established a genomic framework that will facilitate the introgression of traits of interest into blueberry breeding programs and support the potential domestication of V. stamineum as a novel fruit crop.","the Vaccinium genus comprises several commercially important fruit crops. however, past breeding efforts have primarily focused on a limited number of wild relatives as sources of genetic variability. this study established a genomic framework that will facilitate the introgression of traits of interest into breeding programs."
Population and adaptation history of 739 Thlaspi arvense natural accessions,,https://doi.org/10.1101/2025.03.21.644658,,https://www.biorxiv.org/content/10.1101/2025.03.21.644658v1,"AbstractPennycress (Thlaspi arvense) is a promising intermediate oilseed crop, producing oil suitable for conversion to biofuels—including aviation fuels. While domestication efforts are ongoing, a deeper understanding of the genetic architecture of traits is crucial for informing future breeding efforts. Here, we conducted the largest genomic and phenotypic survey of pennycress to date, analyzing 739 accessions collected across four continents. Leveraging whole-genome sequencing and field-collected phenotypes, we characterized the standing genetic variation underlying key agronomic traits and climate resilience. Our findings revealed multiple independent migration events to North America, with substantial genetic admixture. We identified homologs of Arabidopsis thaliana flowering-time genes that contribute to adaptation and demonstrated the agronomic benefits of winter-type pennycress. Furthermore, through multi-season field trials, we identified a genomic region containing a cluster of mTERF genes strongly associated with green canopy coverage, a critical trait for biomass retention and yield stability. These insights provide a genomic roadmap for accelerating pennycress domestication and improving its resilience to climate variability.",thlaspi arvense is a promising intermediate oilseed crop producing oil suitable for conversion to biofuels. a deeper understanding of the genetic architecture of traits is crucial for informing future breeding efforts. we conducted the largest genomic and phenotypic survey of pennycress to date.
Genome-wide association studies reveal novel loci associated with carcass and body measures in goats (Capra hircus),,https://doi.org/10.1101/2025.03.24.644862,,https://www.biorxiv.org/content/10.1101/2025.03.24.644862v1,"AbstractAbstract
Elucidating the genetic architecture of local goat populations is crucial for improving breeding strategies and conservation efforts. In southwestern China, there are numerous local goat resources, featuring rich phenotypic and genetic variations. Nevertheless, in-depth research on their production performance is scarce. Therefore, in this study, whole-genome 7 x resequencing was performed on 776 individuals of six goat breeds (Dazu Black Goat, Yudong Black Goat, Banjiao Goat, Hechuan White Goat, Chuandong White Goat, and Youzhou Black Goat) in Chongqing to deeply investigate their population structure, genetic relationships, and heritability, and to identify significant genes related to growth traits and carcass traits. The mapping of significant genes for growth and carcass traits identified novel genetic loci, including a significant association at position 63,248,396 within ASIP on chromosome 13, which was linked to both traits, indicating a potential pleiotropic effect. Additional candidate genes for growth traits includedCXCL14, PTGFR, and DPYD (body weight); CCSER1, HMCN1, and MYOM1 (body length); MALRD1 and ASIP (withers height); and MEIS2 and NLRC5 (chest circumference). For carcass traits, key candidate genes included ASIP, ATP5G1, COX3 and BCAR3. Functional enrichment analysis highlighted the calcium signaling pathway, glycan biosynthesis, and cytokine receptor interactions as key biological pathways influencing these traits. These findings provide novel insights into the genetic mechanisms underlying economically important traits in Chongqing local goats. The identification of ASIP as a pleiotropic gene, along with other newly discovered loci, offers valuable targets for genetic improvement and selective breeding programs, enhancing the productivity and sustainability of local goat populations.",whole-genome 7 x resequencing was performed on 776 individuals of six goat breeds in southwestern china. the results provide novel insights into the genetic mechanisms underlying economically important traits in local goat populations.
Long-term hunter-gatherer continuity in the Rhine-Meuse region was disrupted by local formation of expansive Bell Beaker groups,,https://doi.org/10.1101/2025.03.24.644985,,https://www.biorxiv.org/content/10.1101/2025.03.24.644985v1,"SummaryThe first phase of the ancient DNA revolution painted a broad-brush picture of European Holocene prehistory, whereby 6500-4000 BCE, farmers descending from western Anatolians mixed with local hunter-gatherers resulting in 70-100% ancestry turnover, then 3000-2500 BCE people associated with the Corded Ware complex spread steppe ancestry into north-central Europe. We document an exception to this pattern in the wider Rhine-Meuse area in communities in the wetlands, riverine areas, and coastal areas of the western and central Netherlands, Belgium and western Germany, where we assembled genome-wide data for 109 people 8500-1700 BCE. Here, a distinctive population with high hunter-gatherer ancestry (∼50%) persisted up to three thousand years later than in continental European regions, reflecting limited incorporation of females of Early European Farmer ancestry into local communities. In the western Netherlands, the arrival of the Corded Ware complex was also exceptional: lowland individuals from settlements adopting Corded Ware pottery had hardly any steppe ancestry, despite a characteristic early Corded Ware Y-chromosome. The limited influx may reflect the unique ecology of the region’s river-dominated landscapes, which were not amenable to wholesale adoption of the early Neolithic type of farming introduced by Linearbandkeramik, making it possible for previously established groups to thrive, and creating a persistent but permeable boundary that allowed transfer of ideas and low-level gene flow. This changed with the formation-through-mixture of Bell Beaker using populations ∼2500 BCE by fusion of local Rhine-Meuse people (9-17%) and Corded Ware associated migrants of both sexes. Their expansion from the Rhine-Meuse region then had a disruptive impact across a much wider part of northwest Europe, including Britain where its arrival was the main source of a 90-100% replacement of local Neolithic peoples.",the first phase of the ancient DNA revolution painted a broad-brush picture of European Holocene prehistory. a distinctive population with high hunter-gatherer ancestry (50%) persisted up to three thousand years later than in continental European regions. the limited influx may reflect the unique ecology of the region’s river-dominated landscapes.
